record_id,taxpayer_id,tin,business_name,owner_name,taxpayer_type,business_sector,lga,registration_date,tax_year,tax_month,tax_type,filing_due_date,filing_date,filing_status,amount_assessed,amount_paid,outstanding_balance,payment_status,payment_method,payment_date,audit_status,audit_result,penalty,annual_turnover,risk_level,compliance_score,revenue_office,notification_sent,registration_year,registration_month,filing_month,payment_month
1214,100320,KAD-TIN-202501213,Santiago Group,William Schultz,Sme,Agriculture,Birnin Gwari,2024-01-31,2025,Sep,Business Premises,2024-03-05,,Not Filed,4458372,1129250,3329122,Partial,Portal,2024-03-08,Audited,Pending,8527,265440246,Medium,99,Zaria,Yes,2024,January,March,March
1215,100052,KAD-TIN-202501214,Hardy PLC,Melissa Graham,Sme,Healthcare,Lere,2024-02-13,2025,Apr,Road Tax,2024-10-23,2024-06-11,Late,415844,415844,0,Paid,Pos,2024-11-02,Not Audited,No Issue,73033,292088770,Medium,85,Kaduna South,No,2024,February,October,November
1216,100230,KAD-TIN-202501215,Nunez-Wheeler,Elizabeth Howard,Corporate,Healthcare,Kauru,2024-08-17,2025,Jun,Withholding Tax,2024-10-06,,Not Filed,1373054,122964,1250090,Partial,Portal,2024-10-15,Audited,Pending,2550,92286947,Low,41,Kaduna North,No,2024,August,October,October
1217,100337,KAD-TIN-202501216,Lewis Group,Angela Landry,Individual,Ict,Jema'A,2024-12-17,2025,Jan,Paye,2025-04-01,,Filed,3063855,3063855,0,Paid,Bank Transfer,2025-04-23,Audited,Underpayment,194976,385496157,Medium,78,Kaduna North,Yes,2024,December,April,April
1218,100534,KAD-TIN-202501217,Potter-Warren,Robin Clayton,Corporate,Healthcare,Giwa,2024-11-09,2025,Feb,Withholding Tax,2024-12-11,2024-09-12,Filed,4379846,4379846,0,Paid,Portal,2024-12-09,Audited,Pending,24207,208417790,High,100,Kaduna North,Yes,2024,November,December,December
1219,100596,KAD-TIN-202501218,"Gibson, Robertson and Reyes",Amanda Griffith,Corporate,Healthcare,Sabon Gari,2024-03-12,2025,Dec,Road Tax,2024-12-20,2025-07-01,Filed,3881465,3881465,0,Paid,Bank Transfer,2025-01-11,Audited,Pending,192166,182838743,Medium,89,Kaduna North,No,2024,March,December,January
1220,100042,KAD-TIN-202501219,Roy-Sims,Cindy Wilson,Individual,Retail,Sanga,2024-09-02,2025,Oct,Withholding Tax,2025-02-11,,Late,2104737,2104737,0,Paid,Pos,2025-02-24,Not Audited,No Issue,25370,390164388,Low,77,Kaduna North,Yes,2024,September,February,February
1221,100679,KAD-TIN-202501220,"Johnston, Cook and Cline",Christopher Kim,Corporate,Healthcare,Soba,2024-09-24,2025,Jun,Withholding Tax,2024-12-06,2024-11-12,Late,825668,825668,0,Paid,Pos,2024-12-23,Audited,No Issue,49574,343408011,Medium,21,Kaduna North,No,2024,September,December,December
1222,100423,KAD-TIN-202501221,Bell and Sons,Victoria Roberts,Sme,Retail,Kubau,2024-04-14,2025,Jun,Road Tax,2024-10-26,2024-08-11,Filed,2379802,2379802,0,Paid,Ngn,2024-11-11,Not Audited,Underpayment,113231,239091190,Low,26,Kaduna North,Yes,2024,April,October,November
1223,100143,KAD-TIN-202501222,Sharp LLC,Benjamin Morales,Corporate,Healthcare,Giwa,2024-10-08,2025,Dec,Business Premises,2025-01-16,,Late,184485,184485,0,Paid,Pos,2025-02-15,Not Audited,Pending,75755,2605911,Low,70,Kaduna North,Yes,2024,October,January,February
1224,100269,KAD-TIN-202501223,"Miller, Thomas and Parsons",Thomas Hall,Corporate,Agriculture,Ikara,2024-09-28,2025,Aug,Business Premises,2025-04-23,,Not Filed,637435,260508,376927,Partial,Ngn,2025-05-03,Not Audited,Underpayment,41882,121329859,Medium,78,Kaduna North,Yes,2024,September,April,May
1225,100574,KAD-TIN-202501224,"Benson, Edwards and Yang",Tammy Brown,Individual,Healthcare,Zaria,2024-05-30,2025,Jun,Paye,2024-08-12,,Filed,844411,844411,0,Paid,Bank Transfer,2024-09-05,Audited,Pending,46318,424142555,High,61,Kaduna South,Yes,2024,May,August,September
1226,100063,KAD-TIN-202501225,Williams-Young,Brittany Castillo,Sme,Healthcare,Jaba,2024-05-26,2025,Apr,Paye,2025-01-14,,Filed,315978,315978,0,Paid,Portal,2025-02-07,Audited,No Issue,22348,70605031,High,51,Zaria,Yes,2024,May,January,February
1227,100180,KAD-TIN-202501226,"Moody, Day and Black",Juan Anderson,Individual,Ict,Sabon Gari,2024-08-22,2025,Dec,Road Tax,2024-11-04,2024-01-11,Filed,802718,802718,0,Paid,Ngn,2024-11-07,Audited,No Issue,171668,487572589,Medium,88,Zaria,No,2024,August,November,November
1228,100333,KAD-TIN-202501227,"Gonzalez, Lambert and Savage",Antonio Baxter,Individual,Agriculture,Kaduna South,2024-01-06,2025,Jul,Paye,2024-10-16,,Not Filed,3651927,912735,2739192,Partial,Ngn,2024-10-25,Audited,Underpayment,109828,119447503,High,58,Kaduna South,Yes,2024,January,October,October
1229,100243,KAD-TIN-202501228,Sanders Ltd,Dawn Medina,Individual,Agriculture,Kudan,2024-02-24,2025,Dec,Business Premises,2025-02-06,,Filed,2842536,2842536,0,Paid,Ngn,2025-03-07,Audited,Underpayment,61571,189755746,High,73,Kaduna North,No,2024,February,February,March
1230,100326,KAD-TIN-202501229,"Pena, Bailey and Tapia",Kimberly Smith,Individual,Ict,Kubau,2024-07-28,2025,Nov,Business Premises,2025-05-27,2025-03-06,Filed,1418868,1418868,0,Paid,Portal,2025-05-25,Not Audited,Underpayment,184442,436457320,Medium,64,Zaria,No,2024,July,May,May
1231,100079,KAD-TIN-202501230,Ramsey Ltd,Jacqueline Chandler,Corporate,Manufacturing,Kauru,2025-05-02,2025,Sep,Road Tax,2025-08-18,,Filed,2365775,2365775,0,Paid,Ngn,2025-09-03,Not Audited,Underpayment,21107,357618709,Low,94,Kaduna North,Yes,2025,May,August,September
1232,100112,KAD-TIN-202501231,"Hernandez, Herring and Bartlett",William Diaz,Corporate,Agriculture,Lere,2024-07-04,2025,Oct,Road Tax,2024-08-10,,Filed,3512657,3512657,0,Paid,Pos,2024-08-16,Audited,Underpayment,71270,437775450,Low,59,Kaduna North,No,2024,July,August,August
1233,100157,KAD-TIN-202501232,Casey-Smith,Stephanie Hughes,Individual,Ict,Giwa,2025-01-06,2025,Jun,Road Tax,2025-09-07,,Not Filed,3224280,1148576,2075704,Partial,Ngn,2025-09-27,Audited,Underpayment,67312,310610607,Low,22,Kaduna South,No,2025,January,September,September
1234,100104,KAD-TIN-202501233,Mendoza-Davis,Shannon Kirk,Corporate,Healthcare,Kudan,2025-02-14,2025,Apr,Paye,2025-08-07,,Not Filed,787706,64867,722839,Partial,Pos,2025-09-03,Audited,No Issue,175293,232336141,Low,59,Kaduna North,No,2025,February,August,September
1235,100515,KAD-TIN-202501234,"Tucker, Miller and Mcfarland",Albert Love,Individual,Retail,Lere,2024-12-12,2025,Sep,Withholding Tax,2025-11-07,,Late,4248018,4248018,0,Paid,Portal,2025-11-06,Not Audited,Underpayment,68071,467022198,Low,64,Kaduna North,Yes,2024,December,November,November
1236,100380,KAD-TIN-202501235,Taylor PLC,Tyler Lee MD,Sme,Ict,Zangon Kataf,2024-01-23,2025,Dec,Withholding Tax,2024-05-25,,Filed,1400547,1400547,0,Paid,Pos,2024-06-07,Audited,No Issue,185659,217526065,Low,59,Zaria,No,2024,January,May,June
1237,100103,KAD-TIN-202501236,Bird PLC,Nicolas Sanders,Corporate,Healthcare,Kaura,2024-01-03,2025,Jan,Paye,2024-06-03,2024-04-06,Late,1243511,1243511,0,Paid,Pos,2024-06-04,Audited,No Issue,155890,241831947,High,95,Zaria,Yes,2024,January,June,June
1238,100014,KAD-TIN-202501237,"Stewart, Stone and Barker",Lori Wilson,Individual,Agriculture,Kudan,2024-02-11,2025,Feb,Business Premises,2024-04-26,,Late,322073,322073,0,Paid,Portal,2024-04-30,Not Audited,Pending,145431,224769691,Low,33,Zaria,No,2024,February,April,April
1239,100520,KAD-TIN-202501238,Garrison LLC,Jennifer Moss,Sme,Retail,Sabon Gari,2025-03-28,2025,Nov,Withholding Tax,2025-07-15,,Late,477219,477219,0,Paid,Portal,2025-08-03,Not Audited,No Issue,164806,66682385,Low,46,Kaduna South,No,2025,March,July,August
1240,100024,KAD-TIN-202501239,Young PLC,Theresa Marshall,Sme,Ict,Makarfi,2024-04-24,2025,Sep,Road Tax,2024-11-12,,Not Filed,1439560,125178,1314382,Partial,Bank Transfer,2024-12-10,Audited,Underpayment,156957,410264987,Low,49,Kaduna South,Yes,2024,April,November,December
1241,100029,KAD-TIN-202501240,Thompson PLC,Stephen Francis,Corporate,Healthcare,Igabi,2025-04-29,2025,Oct,Road Tax,2025-12-27,,Filed,3629855,3629855,0,Paid,Pos,2026-01-06,Not Audited,Underpayment,126123,265286866,Low,88,Kaduna North,No,2025,April,December,January
1242,100430,KAD-TIN-202501241,"Kim, Hunt and Gay",Jennifer Cross,Corporate,Retail,Birnin Gwari,2024-06-22,2025,Mar,Withholding Tax,2024-11-15,,Filed,3803136,3803136,0,Paid,Bank Transfer,2024-12-06,Not Audited,Underpayment,131203,18899531,Low,41,Zaria,No,2024,June,November,December
1243,100219,KAD-TIN-202501242,"White, Reyes and Rogers",Ryan Lee,Sme,Ict,Jaba,2024-12-08,2025,Feb,Road Tax,2025-06-06,,Filed,1182071,1182071,0,Paid,Bank Transfer,2025-06-28,Not Audited,Pending,92382,456684529,Medium,53,Kaduna South,No,2024,December,June,June
1244,100068,KAD-TIN-202501243,Brown-Horn,Sarah Kennedy,Sme,Healthcare,Zaria,2024-01-11,2025,Feb,Business Premises,2024-08-27,2024-09-09,Late,3040600,3040600,0,Paid,Ngn,2024-09-03,Audited,Underpayment,14396,397029553,Low,72,Kaduna South,Yes,2024,January,August,September
1245,100010,KAD-TIN-202501244,White Group,Robert Harris,Individual,Ict,Kajuru,2024-07-17,2025,Jan,Withholding Tax,2024-09-22,2024-12-10,Filed,4079406,4079406,0,Paid,Pos,2024-10-08,Audited,Pending,196098,375038389,Low,99,Zaria,Yes,2024,July,September,October
1246,100300,KAD-TIN-202501245,Johnston and Sons,Alexis Lamb,Corporate,Retail,Kachia,2024-10-22,2025,Jan,Paye,2025-01-30,2025-03-02,Late,4595193,4595193,0,Paid,Bank Transfer,2025-02-24,Audited,No Issue,82940,462716662,Low,25,Kaduna North,Yes,2024,October,January,February
1247,100374,KAD-TIN-202501246,Flores-Hawkins,Brenda Duncan,Corporate,Healthcare,Kaura,2024-07-07,2025,Dec,Withholding Tax,2024-09-11,,Late,4045252,4045252,0,Paid,Pos,2024-09-23,Not Audited,No Issue,81227,297252490,Low,31,Kaduna North,No,2024,July,September,September
1248,100431,KAD-TIN-202501247,Mendoza Group,Tonya Hess,Sme,Ict,Kudan,2024-01-09,2025,Sep,Road Tax,2024-04-08,2024-06-04,Late,4233138,4233138,0,Paid,Ngn,2024-05-06,Audited,Pending,88332,174309587,High,34,Kaduna North,Yes,2024,January,April,May
1249,100101,KAD-TIN-202501248,"Burgess, Brown and Davis",Kiara Turner,Individual,Ict,Sabon Gari,2025-04-08,2025,Jun,Road Tax,2025-12-23,2026-03-01,Late,2814178,2814178,0,Paid,Bank Transfer,2026-01-11,Not Audited,Underpayment,40570,204067764,High,25,Zaria,No,2025,April,December,January
1250,100158,KAD-TIN-202501249,"Smith, Hutchinson and Allen",Jeffrey Martin,Sme,Agriculture,Kauru,2024-03-23,2025,Dec,Withholding Tax,2024-08-16,,Not Filed,3265792,39553,3226239,Partial,Ngn,2024-09-10,Not Audited,Underpayment,37053,21691602,Medium,28,Kaduna South,Yes,2024,March,August,September
1251,100513,KAD-TIN-202501250,Murphy-Montes,Kara Williams,Sme,Retail,Kajuru,2024-01-14,2025,Jul,Withholding Tax,2024-10-05,,Filed,562930,562930,0,Paid,Portal,2024-10-17,Not Audited,Pending,189441,34857271,Low,32,Kaduna South,No,2024,January,October,October
1252,100453,KAD-TIN-202501251,May-Gilbert,Cody Robbins,Sme,Retail,Kaduna South,2024-06-06,2025,Sep,Withholding Tax,2024-10-30,,Not Filed,183762,24341,159421,Partial,Portal,2024-11-08,Not Audited,No Issue,42466,304055649,Low,62,Kaduna South,No,2024,June,October,November
1253,100462,KAD-TIN-202501252,"Joseph, Malone and Anthony",Dennis Norman,Individual,Healthcare,Lere,2024-12-16,2025,May,Paye,2025-10-12,,Late,1287324,1287324,0,Paid,Portal,2025-11-06,Not Audited,No Issue,2696,241079114,High,68,Zaria,Yes,2024,December,October,November
1254,100347,KAD-TIN-202501253,Martinez-Russell,Jennifer Medina,Individual,Healthcare,Kaura,2024-03-14,2025,Aug,Road Tax,2024-12-13,,Filed,1782475,1782475,0,Paid,Pos,2025-01-02,Audited,No Issue,138677,233518802,High,84,Kaduna South,Yes,2024,March,December,January
1255,100536,KAD-TIN-202501254,Barton-Peters,James Mccall,Sme,Healthcare,Zangon Kataf,2024-07-27,2025,Apr,Business Premises,2024-09-10,2024-06-09,Late,4387014,4387014,0,Paid,Ngn,2024-10-01,Audited,Underpayment,1579,188215357,Low,87,Zaria,Yes,2024,July,September,October
1256,100086,KAD-TIN-202501255,"Ibarra, Schaefer and Wolf",Jessica Huang,Sme,Healthcare,Kubau,2024-08-30,2025,Jul,Withholding Tax,2025-01-09,,Not Filed,3557445,1556513,2000932,Partial,Bank Transfer,2025-01-27,Audited,Pending,172028,398139138,Medium,72,Kaduna South,Yes,2024,August,January,January
1257,100348,KAD-TIN-202501256,George-Howard,Robin Skinner,Sme,Agriculture,Jaba,2025-01-12,2025,Jul,Paye,2025-10-11,,Not Filed,3937057,1048180,2888877,Partial,Bank Transfer,2025-10-24,Not Audited,No Issue,47429,258010587,Low,71,Zaria,Yes,2025,January,October,October
1258,100181,KAD-TIN-202501257,"Smith, Collier and Wilson",Thomas Dominguez,Individual,Ict,Kudan,2024-08-21,2025,Feb,Paye,2025-01-03,,Filed,550265,550265,0,Paid,Bank Transfer,2025-01-30,Not Audited,Pending,128475,230667478,High,35,Kaduna South,Yes,2024,August,January,January
1259,100162,KAD-TIN-202501258,Mack-Perez,Daniel Dean,Corporate,Healthcare,Kajuru,2024-08-04,2025,Feb,Withholding Tax,2024-11-26,,Filed,2520679,2520679,0,Paid,Portal,2024-12-08,Audited,Underpayment,46064,57601224,Medium,94,Kaduna North,Yes,2024,August,November,December
1260,100185,KAD-TIN-202501259,Cox-Evans,Brandon Robbins,Corporate,Manufacturing,Sabon Gari,2024-10-26,2025,Sep,Paye,2025-02-24,,Filed,298201,298201,0,Paid,Ngn,2025-03-05,Not Audited,Underpayment,129880,446972175,Low,27,Kaduna South,Yes,2024,October,February,March
1261,100020,KAD-TIN-202501260,Cooper Group,Erica Mitchell,Individual,Retail,Kaura,2025-03-20,2025,Apr,Road Tax,2025-05-25,,Late,3946953,3946953,0,Paid,Bank Transfer,2025-06-13,Audited,No Issue,76337,315158159,Low,46,Kaduna North,No,2025,March,May,June
1262,100287,KAD-TIN-202501261,Reeves and Sons,Andrea Day,Sme,Healthcare,Kachia,2025-03-03,2025,Feb,Road Tax,2025-11-22,,Filed,2179072,2179072,0,Paid,Ngn,2025-12-18,Not Audited,No Issue,145544,4861187,High,48,Zaria,Yes,2025,March,November,December
1263,100063,KAD-TIN-202501262,Cruz-Moore,Thomas Wong,Individual,Agriculture,Sanga,2025-01-14,2025,Dec,Withholding Tax,2025-09-04,2025-02-09,Late,2231957,2231957,0,Paid,Pos,2025-09-16,Audited,Underpayment,183688,86827577,Medium,43,Zaria,Yes,2025,January,September,September
1264,100228,KAD-TIN-202501263,Mullins Ltd,Melissa Pierce,Sme,Retail,Kaduna South,2024-03-22,2025,Oct,Road Tax,2025-02-08,2025-04-02,Filed,3301564,3301564,0,Paid,Pos,2025-03-05,Not Audited,Underpayment,103581,348755072,Medium,41,Kaduna South,Yes,2024,March,February,March
1265,100211,KAD-TIN-202501264,"Duran, Atkins and Jackson",Charles Rivera,Corporate,Manufacturing,Kaduna North,2024-10-10,2025,Oct,Withholding Tax,2025-10-04,,Late,3035486,3035486,0,Paid,Portal,2025-10-02,Not Audited,Underpayment,731,226785623,High,83,Kaduna South,No,2024,October,October,October
1266,100559,KAD-TIN-202501265,West Ltd,Jody Weaver,Individual,Retail,Sabon Gari,2025-03-09,2025,Mar,Paye,2025-04-19,,Filed,424088,424088,0,Paid,Pos,2025-04-21,Not Audited,Underpayment,62441,334697039,Low,55,Kaduna South,Yes,2025,March,April,April
1267,100357,KAD-TIN-202501266,Wong and Sons,Katie Evans,Individual,Ict,Jema'A,2024-10-26,2025,Mar,Paye,2025-03-20,,Filed,1365983,1365983,0,Paid,Pos,2025-04-09,Audited,No Issue,40360,436643979,Medium,62,Kaduna South,Yes,2024,October,March,April
1268,100291,KAD-TIN-202501267,Frazier Ltd,Joshua Davis,Sme,Retail,Kachia,2024-02-28,2025,Jul,Withholding Tax,2025-02-08,,Not Filed,1947856,354046,1593810,Partial,Pos,2025-02-18,Audited,No Issue,42520,160131701,Low,70,Kaduna North,No,2024,February,February,February
1269,100578,KAD-TIN-202501268,"Ballard, Watts and Nichols",Craig Shaw,Corporate,Healthcare,Soba,2024-03-08,2025,Apr,Paye,2024-04-10,,Not Filed,273575,90916,182659,Partial,Pos,2024-04-25,Not Audited,No Issue,42386,474287392,High,27,Kaduna South,No,2024,March,April,April
1270,100627,KAD-TIN-202501269,"Jenkins, Rodriguez and Rodriguez",Tracey Boyd,Corporate,Healthcare,Ikara,2025-01-19,2025,Jan,Paye,2025-12-21,,Late,2676111,2676111,0,Paid,Pos,2026-01-19,Not Audited,No Issue,19727,260300471,Medium,59,Zaria,No,2025,January,December,January
1271,100394,KAD-TIN-202501270,"Ward, King and Grant",Erin Davis,Individual,Healthcare,Kaduna North,2024-05-22,2025,Nov,Paye,2024-09-10,,Filed,174885,174885,0,Paid,Pos,2024-10-06,Not Audited,Pending,25634,316583192,Low,43,Kaduna South,No,2024,May,September,October
1272,100382,KAD-TIN-202501271,Turner-Stanley,Kathleen Barnes,Individual,Manufacturing,Ikara,2024-02-08,2025,Jul,Withholding Tax,2024-07-04,,Filed,4090101,4090101,0,Paid,Ngn,2024-07-11,Not Audited,Underpayment,100426,57236295,Low,23,Zaria,No,2024,February,July,July
1273,100005,KAD-TIN-202501272,Hardy-Hale,Thomas Garza,Corporate,Healthcare,Jaba,2024-03-02,2025,Nov,Withholding Tax,2024-11-16,,Filed,271876,271876,0,Paid,Pos,2024-12-01,Audited,No Issue,43572,380574815,Low,28,Kaduna South,Yes,2024,March,November,December
1274,100326,KAD-TIN-202501273,"Neal, Suarez and Olson",Dr. Laura Wilkins,Individual,Agriculture,Jema'A,2025-03-16,2025,Dec,Business Premises,2025-10-01,,Late,133324,133324,0,Paid,Bank Transfer,2025-10-18,Audited,Pending,12941,279790281,Medium,82,Zaria,No,2025,March,October,October
1275,100620,KAD-TIN-202501274,Bowman-Harris,Daniel Bush,Individual,Agriculture,Zaria,2024-11-22,2025,Dec,Withholding Tax,2025-03-03,2025-02-03,Late,3960246,3960246,0,Paid,Pos,2025-03-06,Audited,Pending,66682,339306624,High,61,Zaria,Yes,2024,November,March,March
1276,100556,KAD-TIN-202501275,"Moore, Larson and Ross",Stephanie Estes,Sme,Manufacturing,Chikun,2024-10-29,2025,Jul,Road Tax,2025-02-28,,Not Filed,112274,19825,92449,Partial,Portal,2025-03-10,Audited,No Issue,198588,93351553,High,95,Zaria,No,2024,October,February,March
1277,100170,KAD-TIN-202501276,Ramsey-Huerta,Jeffrey Reed,Sme,Manufacturing,Zaria,2024-06-30,2025,Sep,Withholding Tax,2024-09-16,,Late,529491,529491,0,Paid,Ngn,2024-09-17,Not Audited,Pending,131978,423771232,Medium,87,Zaria,Yes,2024,June,September,September
1278,100448,KAD-TIN-202501277,Boyd PLC,Shannon Moore,Corporate,Manufacturing,Ikara,2025-02-28,2025,Jul,Business Premises,2026-01-01,,Filed,2739714,2739714,0,Paid,Ngn,2026-01-24,Not Audited,No Issue,172611,315801619,Low,66,Kaduna South,Yes,2025,February,January,January
1279,100083,KAD-TIN-202501278,Smith-Kelly,Tiffany Rodriguez,Corporate,Manufacturing,Jaba,2025-03-17,2025,Sep,Business Premises,2026-03-08,2026-08-03,Late,3180898,3180898,0,Paid,Pos,2026-03-28,Audited,No Issue,139797,100435836,Medium,71,Kaduna North,No,2025,March,March,March
1280,100604,KAD-TIN-202501279,Moses-Baker,Lisa Vargas,Sme,Ict,Soba,2024-08-16,2025,Jan,Paye,2024-12-12,,Not Filed,3499304,395738,3103566,Partial,Pos,2024-12-20,Audited,Underpayment,22856,156336164,High,93,Kaduna North,Yes,2024,August,December,December
1281,100175,KAD-TIN-202501280,"Gillespie, Maxwell and Everett",Brandon Baker,Corporate,Manufacturing,Chikun,2025-02-07,2025,Mar,Road Tax,2025-03-15,,Not Filed,3552289,827156,2725133,Partial,Portal,2025-03-13,Not Audited,Underpayment,13792,313767621,Medium,75,Kaduna North,Yes,2025,February,March,March
1282,100020,KAD-TIN-202501281,"Lewis, Daniels and Wade",Scott Ward,Corporate,Ict,Sanga,2024-02-04,2025,Feb,Paye,2024-11-04,,Late,379992,379992,0,Paid,Bank Transfer,2024-11-16,Audited,Underpayment,52636,291235613,High,42,Kaduna North,Yes,2024,February,November,November
1283,100607,KAD-TIN-202501282,"Lang, Olson and Sweeney",Nicole Ball,Individual,Manufacturing,Birnin Gwari,2024-06-01,2025,Dec,Paye,2025-02-23,2025-03-03,Filed,778496,778496,0,Paid,Bank Transfer,2025-03-02,Not Audited,Underpayment,172772,22010181,Medium,71,Kaduna South,No,2024,June,February,March
1284,100447,KAD-TIN-202501283,Dodson-Joseph,Angela Garcia,Individual,Manufacturing,Kaduna South,2024-02-26,2025,Apr,Withholding Tax,2024-10-27,,Filed,4026213,4026213,0,Paid,Bank Transfer,2024-11-14,Audited,Underpayment,45472,109312544,Medium,74,Kaduna North,No,2024,February,October,November
1285,100690,KAD-TIN-202501284,Harris Inc,Lydia Hobbs DVM,Individual,Ict,Jema'A,2025-02-26,2025,Jul,Paye,2025-10-31,,Not Filed,1279880,233760,1046120,Partial,Bank Transfer,2025-11-14,Not Audited,Pending,24419,235685321,Medium,37,Kaduna North,Yes,2025,February,October,November
1286,100120,KAD-TIN-202501285,"Bailey, Lucas and Young",Michael Foster,Corporate,Ict,Kubau,2024-07-18,2025,Mar,Road Tax,2025-02-11,,Late,2463448,2463448,0,Paid,Portal,2025-03-04,Not Audited,Underpayment,197145,18989857,Medium,46,Kaduna South,No,2024,July,February,March
1287,100439,KAD-TIN-202501286,"Williams, Murphy and White",George Conner,Individual,Manufacturing,Kagarko,2024-04-02,2025,Jun,Paye,2025-03-17,,Filed,2377362,2377362,0,Paid,Portal,2025-03-16,Audited,Underpayment,162456,332441782,High,44,Kaduna North,No,2024,April,March,March
1288,100294,KAD-TIN-202501287,Parrish-Russell,Adam Whitaker,Corporate,Ict,Kubau,2024-12-23,2025,May,Withholding Tax,2025-04-25,,Filed,1465158,1465158,0,Paid,Ngn,2025-04-27,Not Audited,No Issue,57415,146240160,Medium,74,Kaduna South,Yes,2024,December,April,April
1289,100584,KAD-TIN-202501288,Barry-Miles,Victor Barker,Individual,Ict,Kajuru,2024-09-13,2025,May,Withholding Tax,2025-04-30,,Not Filed,2193527,940856,1252671,Partial,Pos,2025-05-22,Audited,Underpayment,146646,306846027,Low,55,Zaria,No,2024,September,April,May
1290,100273,KAD-TIN-202501289,Henson Inc,Cynthia Morales,Individual,Retail,Birnin Gwari,2024-03-29,2025,Oct,Withholding Tax,2024-08-07,,Not Filed,3689594,1539188,2150406,Partial,Pos,2024-09-06,Not Audited,Pending,82038,260615437,High,54,Kaduna North,Yes,2024,March,August,September
1291,100605,KAD-TIN-202501290,"Roberts, Sanchez and Garcia",Christopher Baker,Corporate,Retail,Chikun,2024-07-19,2025,Oct,Business Premises,2025-01-07,,Filed,2745151,2745151,0,Paid,Bank Transfer,2025-01-21,Not Audited,No Issue,79881,264384249,High,72,Zaria,Yes,2024,July,January,January
1292,100536,KAD-TIN-202501291,"Kelley, Ramos and Mitchell",Joshua Stewart,Sme,Agriculture,Jema'A,2024-05-30,2025,Aug,Paye,2024-10-20,,Late,4287831,4287831,0,Paid,Portal,2024-10-23,Not Audited,Pending,92118,473625135,Medium,52,Kaduna South,No,2024,May,October,October
1293,100567,KAD-TIN-202501292,"Gallagher, Levy and Perez",John Kim,Individual,Agriculture,Zangon Kataf,2024-03-08,2025,May,Paye,2024-10-22,2024-02-11,Filed,3440106,3440106,0,Paid,Ngn,2024-10-22,Audited,No Issue,118701,257216591,High,41,Zaria,Yes,2024,March,October,October
1294,100042,KAD-TIN-202501293,"Schmidt, Fitzgerald and Stevenson",Timothy Mccarthy,Corporate,Manufacturing,Soba,2024-01-06,2025,Sep,Road Tax,2024-10-26,,Late,2856169,2856169,0,Paid,Ngn,2024-11-08,Not Audited,Underpayment,197367,475682515,Medium,24,Kaduna South,Yes,2024,January,October,November
1295,100436,KAD-TIN-202501294,Stanley-Torres,William Edwards,Corporate,Healthcare,Kachia,2024-04-26,2025,Apr,Paye,2024-09-29,2024-06-10,Late,2289834,2289834,0,Paid,Portal,2024-10-25,Audited,No Issue,106050,254867917,High,35,Zaria,Yes,2024,April,September,October
1296,100487,KAD-TIN-202501295,Cooper Ltd,Robert Meyers,Corporate,Agriculture,Giwa,2024-04-03,2025,Oct,Paye,2024-08-04,,Late,3491951,3491951,0,Paid,Portal,2024-09-03,Not Audited,Underpayment,57155,271713939,Medium,96,Kaduna North,No,2024,April,August,September
1297,100312,KAD-TIN-202501296,Norton-Bailey,Monica Jenkins,Corporate,Ict,Zaria,2024-08-29,2025,Sep,Road Tax,2025-01-11,,Not Filed,3528839,428553,3100286,Partial,Portal,2025-01-10,Not Audited,Pending,84581,457352716,Low,58,Zaria,Yes,2024,August,January,January
1298,100269,KAD-TIN-202501297,Kennedy-Levy,Diane Waters,Corporate,Healthcare,Kauru,2024-03-12,2025,Dec,Paye,2024-06-10,,Not Filed,3870266,123066,3747200,Partial,Portal,2024-07-06,Audited,Underpayment,102433,112559300,Low,27,Kaduna North,No,2024,March,June,July
1299,100197,KAD-TIN-202501298,"Skinner, Hayes and Woods",Philip Lucas,Corporate,Healthcare,Jaba,2025-01-25,2025,Sep,Paye,2025-05-18,,Not Filed,174403,62202,112201,Partial,Pos,2025-06-16,Audited,Pending,40348,226776878,High,61,Kaduna North,Yes,2025,January,May,June
1300,100547,KAD-TIN-202501299,"Cardenas, Johnson and Padilla",Hector Brown,Sme,Agriculture,Sanga,2024-08-25,2025,May,Business Premises,2024-11-09,,Late,100967,100967,0,Paid,Ngn,2024-11-17,Audited,No Issue,188209,375370119,High,88,Zaria,Yes,2024,August,November,November
1301,100335,KAD-TIN-202501300,Howell Ltd,Samuel Moreno,Sme,Healthcare,Zaria,2025-05-12,2025,Jan,Paye,2025-07-25,,Not Filed,2041500,1004159,1037341,Partial,Ngn,2025-08-14,Not Audited,Underpayment,7021,206215687,High,42,Kaduna North,No,2025,May,July,August
1302,100003,KAD-TIN-202501301,Ramirez LLC,Belinda Sanchez,Sme,Agriculture,Sanga,2025-02-23,2025,Sep,Business Premises,2025-12-25,,Late,1642584,1642584,0,Paid,Pos,2026-01-24,Not Audited,Pending,64319,437790502,Low,38,Zaria,Yes,2025,February,December,January
1303,100483,KAD-TIN-202501302,"Hill, Harper and Baxter",Carlos Foster,Corporate,Retail,Kaura,2024-08-26,2025,Nov,Road Tax,2025-06-27,2025-12-07,Filed,3525276,3525276,0,Paid,Ngn,2025-07-09,Audited,Underpayment,169135,285308894,High,26,Kaduna North,No,2024,August,June,July
